oid,ind,description,img,tags,title
5D759F,18,"Tapete muito fofo de crochê confeccionado com barbante crú, Barroco multicolor e Barroco Decore. 
Pode ser feito jogo de banheiro, nos tamanhos e cores de sua preferência. 
Esse valor é referente à 01 peça. 
**Produto durável - pode lavar na máquina*** 
100% Artesanal.",https://img.elo7.com.br/product/main/EAE18E/tapete-corujinha-banheiro.jpg,"tapete de crochê coruja,corujinha,coruja,cozinha,sala,coruja dorminhoca,crochê,jogo de cozinha,chá de cozinha,conjunto,coruja vermelha,tapete,banheiro,panndorella,jogo de banheiro,decoração,quarto,chá de panela,barbante",Tapete de Crochê Coruja
CDB4DF,25,"Este é um PRODUTO DIGITAL. Nenhum material impresso será enviado pelos Correios. 
 
A amostra da arte será enviada para o email cadastrado no Elo7 dentro de 24h (dias úteis exceto feriados) após a confirmação de pagamento e dos dados do convite serem enviados. Depois que a amostra for aprovada, enviamos a arte final dentro de 24h (dias úteis exceto feriados). Se for preciso fazer alterações o prazo poderá se estender. 
 
=A arte final é enviada em dois formatos: JPEG (para envio virtual/whatsapp) e PDF (para impressão) 
=Medida do Convite: 10cm x 15cm 
 
---------------------------------------------------------------------------------------------- 
Você está adquirindo o produto IGUAL ao modelo adicionado em seu carrinho de compras. Os seus dados pessoais (nome, idade, endereço, data) serão acrescentados na arte final. 
Quer mudar o tema? Mudar cores? Inserir outras informações ou mudar o texto? 
FALE CONOSCO ATRAVÉS DA OPÇÃO CONTATAR VENDEDOR, ANTES DE REALIZAR A COMPRA PARA VERIFICAR A POSSIBILIDADE DE ALTERAÇÃO. 
---------------------------------------------------------------------------------------------- 
 
O cliente poderá solicitar até 3 alterações. Após a 3ª será cobrado o valor adicional de R$ 5,00 por cada alteração solicitada. Observação: Essas alterações se restringem a aumentar ou diminuir o texto ou o nome, trocar as cores do texto, mudar algum dado que já havia sido passado ou trocar telefone. Você está adquirindo o modelo igual ao da foto e portanto já é possível ter uma ideia geral de como será sua arte final. 
 
Horário de envio da amostra e da arte final: 
Segunda a Sexta das 09:30hs às 19:00hs (exceto feriados) 
 
As cores finais podem variar de acordo com o tipo de impressora, tipo de papel, etc. Imprima em casa sempre com a máxima qualidade e não em formato rascunho, pois isso irá distorcer as cores finais. Procure gráficas idôneas e bem recomendadas para garantir uma boa qualidade no produto final. 
 
NÃO SERÁ ENVIADO ARQUIVO EDITÁVEL DE NENHUMA ARTE. 
 
Estamos à disposição para solucionar qualquer dúvida. 
Boas compras!",https://img.elo7.com.br/product/main/209C151/convite-lol-surprise-arte-digital-o.jpg,"convite zap lol surpresa,convite online lol,convite para imprimir lol surpresa,convite celular l,aniversário infantil,convite whatsapp,convite aniversario menina,convite whatsapp lol surprise,convites de aniversário infantil,l,convite virtual lol surprise,convite zap lol surprise,lol surprise doll,convite virtual lol surpresa,festa lol,surpresa,convite whats lol surprise,convite digital lol,festa infantil,convite whatsapp lol,bug 6,convite rede social lol surpresa,surpresa digital,convite whats lol,convite lol surprise,convite de celular lol surprise,convite l,convite whatsapp l,convite zap l,convite lol",Convite LOL Surprise | Arte Digital
B8D088,26,"A Araucária é capaz de se encaixar em qualquer ambiente seja em sua casa ou escritório. Os cactos e suculentas por suas linhas simples, cor discreta, se tornam perfeitas para compor arranjos individualmente, ou como complemento com outras plantas. 
Suculentas artificiais parecem realistas combine esta haste com outras variedades de tons, tipos e tamanhos de cores e crie seu arranjo floral. 
Encontre na Decora flores artificiais suculentas, echeveria, sedum, agave, aloe, lotus e muito mais. 
Os arranjos das sugestões “Faça Você Mesmo” são apenas ilustrativos. 
Não esquece hein, aqui na Decora você encontra todas as flores e plantas para criar estes lindos arranjos, ou se preferir escolha um dos nossos lindos arranjos prontos!!! 
Qualquer dúvida, fale com a gente. 
Características do produto 
· Comprimento: Altura: 13 cm Largura: 13 cm 
· Material: plástico de alta e arame. 
· Cor: Verde 
Vantagens do produto 
Uma das vantagens em utilizá-las é que não será necessário tomar medidas como selecionar o tipo certo de terra, regar e adubar constantemente, ou se preocupar com a localização delas em locais que recebam energia solar diariamente. 
 
Elas não irão murchar ou morrer, diferente das plantas naturais, as flores permanentes podem servir para decorar até mesmo o banheiro, onde há bastante umidade. O único cuidado está em limpá-la regularmente, para eliminar a sujeira acumulada com o tempo e sempre mantê-la com aspecto de novo.",https://img.elo7.com.br/product/main/1D3EBBC/suculenta-artificial-araucaria-flores-artificiais-finas.jpg,"folhagem artificial para decoração,vaso de folhagem artificial,suculenta artificial preço,plantas artificiais para sala,folhagem verde artificial,suculentas artificiais 25 de março,vaso de planta artificial,flores e folhagens artificiais,folhagem artificial para sala,folhagem artificial para parede,vaso com suculentas artificiais,arranjo de suculenta artificial,folhagens artificiais para arranjos,suculentas artificiais para comprar,plantas artificiais,vasinho suculenta artificial,suculentas artificiais,planta artificial com vaso,planta suculenta artificial comprar,plantas suculentas artificiais,cactos artificiais,suculentas artificiais arranjos,arranjo de folhagem artificial,plantas artificiais grandes,folhas artificiais para festa,folhagem artificial,folhagem artificial atacado,flor suculenta artificial,folhagem artificial 25 de março",Planta artificial suculenta araucária
CC7942,29,"LINDAS CANECAS PERSONALIZADAS DA MINNIE ROSA 
 
CANECAS DE ACRÍLICO RESISTENTES DE 1ª LINHA COM 350 ML. 
 
NÃO É ADESIVO E NEM SILK,,TRABALHO COM SUBLIMAÇÃO A QUENTE QUE É A IMPRESSÃO DIRETA NA CANECA COLORIDA DANDO UMA GRANDE RESISTÊNCIA NAS LAVAGENS. 
 
FAZEMOS PELO MESMO PREÇO DESENHOS COLORIDOS. 
 
ANTES DE COMPRAR,INFORME A DATA DA FESTA PARA SABER O PRAZO DE ENTREGA DOS CORREIOS. NÃO NOS RESPONSABILIZAMOS POR ATRASOS NA ENTREGA POR PARTE DOS CORREIOS. FAÇA SEU PEDIDO COM ANTECEDÊNCIA! 
 
PARA PEDIDOS ACIMA DE 100 UNIDADES(2 QUANTIDADES) FAZER OUTRO PEDIDO,POIS OS CORREIOS SÓ ACEITAM CAIXAS DE ATÉ 100 UNIDADES. 
 
PRAZO DE PRODUÇÃO É DE 20 DIAS UTEIS A PARTIR DA CONFIRMAÇÃO DE PAGAMENTO. 
 
NOSSOS PRODUTOS SÃO 100% VERIFICADOS ANTES DE MANDAR PARA OS CORREIOS,CASO QUEBRE ALGUM COPO,NÓS APENAS DEVOLVEMOS O DINHEIRO MEDIANTE FOTO DA QUANTIDADE QUEBRADA,POIS NÃO ENVIAMOS OUTROS NO LUGAR.",https://img.elo7.com.br/product/main/20697E3/canecas-de-acrilico-personalizadas-minnie-rosa-lembrancinha.jpg,"caneca,acrílico,galinha pintadinha,lembrancinhas,rosa,personalizado,caneca de acrílico personalizada,presente,transparente,galinha,minnie,pintadinha,canecas personalizadas acrilico,brinde,aniversário",Canecas De Acrílico Personalizadas MINNIE ROSA
A1BCFE,418,"Lindo vestido com aplicação de renda e pérolas ideal para festas e ocasiões especiais... 
Gostaria de outra cor ou detalhes diferentes?Fale conosco! Aqui na MISS NINA nós personalizamos para você! 
*FAÇA UMA VERIFICAÇÃO PRÉVIA* 
Fabricamos todos os tamanhos 
Composição: 75% algodão 25% poliester 
 INCLUI CINTO DE PEROLAS 
 
 
VALOR PARA VESTIDO ATÉ TAMANHO 06 ACIMA DESSE TAMANHO ACRÉSCIMO DE R$ 20,00 
 
TABELA DE MEDIDAS 
 
 CINTURA BUSTO COMPRIMENTO 
 
 Tamanho 1 : 50 52 55 
 
Tamanho 2 : 52 54 60 
 
Tamanho 3: 54 56 67 
 
Tamanho 4: 56 58 74 
 
Tamanho 5: 58 60 79 
 
Tamanho 6: 60 62 82 
 
Tamanho 8: 63 66 85 
 
Tamanho 10: 67 70 89 
 
 Após o pagamento informar o tamanho desejada através do Ícone contatar o vendedor. 
Se preferir você pode informar as medidas da sua princesa! 
Medidas necessárias: busto, cintura, comprimento do ombro a cintura e a idade da criança. 
*IMPORTANTE* Atenção ao escolher ou informar as medidas, nossas peças são rigorosamente revisadas antes do envio e seguem conforme solicitação do cliente. NO CASO DE TROCA O FRETE CORRE POR CONTA DO CLIENTE, NÃO ARCAMOS COM FRETE.",https://img.elo7.com.br/product/main/198C911/vestido-festa-vestido-azul.jpg,"fantasia,vestido bebe,vestido de criança,fantasia infantil,princesa sofia,vestido lilas,vestido de festa,princesa,vestido batizado,daminha,vestido de princesa,vestido de festa para criança,vestido branco,vestido azul,festa,infantil,elza,azul,dama,roupa infantil,princesa elza,vestido frozen,bebê,batizado,festa frozen",VESTIDO FESTA
C8D7EA,433,"Vestido infantil Tema Frozen 
 
Busto no tecido tafetá com renda, cintura com cinto de pérolas na cor branca, saia de cetim e saia de organza cristal bordada com acabamento na barra em renda branca. 
 
*Saia de armação* 
Tamanhos 1 ao 2 R$30,00 
Tamanhos 8 ao 14 R$35,00 
 
Vestido do Tamanho 1 ao 6 R$150,00 
 
Vestido do Tamanho 8 ao 14 R$165,00 (O vendedor acrescentara o ajuste de R$15,00 no pedido) 
 
Solicite a tabela de medidas em contatar vendedor. 
 
Confirme as medidas, não realizamos trocas por problemas de tamanho. 
 
Prazo para confecção 10 dias úteis. 
 
Seja Bem vindo e Boas compras!!!",https://img.elo7.com.br/product/main/2171744/vestido-infantil-frozen-vestido-da-frozen.jpg,"vestido frozen,vestido infantil frozen,vestido de festa infantil frozen,vestido de festa frozen",Vestido infantil Frozen
A8B8AD,450,"Bolo cenográfico chá de bebê menino para aluguel. 
No momento não estou fazendo bolos para venda, somente aluguel. 
Infelizmente não temos serviço de entrega, então os bolos devem ser retirados e devolvidos em São Bernardo do Campo - Vila Euclides. 
Os bolos podem ser retirados 2 dias antes e devolvidos até 3 dias após o evento. 
Atendemos São Paulo capital e todo grande ABC.",https://img.elo7.com.br/product/main/1AAC581/bolo-cha-de-bebe-menino-aluguel-bolo-cha-de-bebe.jpg,"menino,bolo chá de bebê menino,fake,chá de bebê menino,bolo fake,bolo chá de bebê,aluguel de bolo,bolo tiffany,bolo de aluguel bolo para aluguel",Bolo Chá de bebê Menino-Aluguel
C357FF,548,"Papel de Parede Universo 
 
Feito Sob-Medida FRETE GRÁTIS -> APROVEITE! 
 
 ===>> ATENÇÃO <<== 
 
==>> NOSSO VALOR É POR METRO QUADRADO <<== 
 
Tudo oque você precisa para sua Decoração Você encontra aqui na UP ADESIVOS 3D 
 
CARACTERÍSTICAS DO PRODUTO: 
 
1 UND = 1 METRO QUADRADO 
SOBREPOSIÇÃO: 1 cm 
GARANTIA: Contra defeitos de Fabricação. 
TEXTURA: Vinílica Lisa (este produto não possui relevo). 
PRODUTO LAVÁVEL E ANTI CHAMA! 
COLA: Não necessita, nosso papel de parede ja contem cola. 
GRAMATURA: 135 Gramas Composição: 100% PVC. 
DISPONIBILIDADE DE IMAGENS PRÓPIA: Sim (Confira as regras) 
 
ESSE ANUNCIO REFERE-SE A CADA METRO QUADRADO É IGUAL A 1 UNIDADE. 
 
Então como descobrir quantos metros quadrados tem minha parede? 
R.: SIMPLES DEMAIS, MULTIPLIQUE A ALTURA PELA LARGURA E O RESULTADO É O METRO QUADRADO. 
 
AGORA BASTA ARREDONDAR PARA UM NUMERO INTEIRO, E ASSIM MULTIPLICAR PELO VALOR. 
 
>>> VAMOS FAZER UM EXEMPLO? <<< 
Ex.: Sua parede tem 2.80 metro de altura e 3.40 metro de largura. 
Nesse exemplo basta fazer: 2.80(altura) x 3.40(largura) = 9,52m² 
Então a quantidade correta a ser comprado é 10 unidade. 
 
É SIM NECESSÁRIO ARREDONDAR SEMPRE PARA MAIS E NUNCA PARA MENOS! 
 
*Aconselho você a comprar a quantidade correta ou até a mais do que precisa para evitar dor de cabeça. Pois produções em lotes diferentes apresenta diferença de cor. 
 
Acompanha um KIT de Instalação e um Manual de Aplicação! além de ter nosso Suporte no momento de Instalar! 
 
Aqui você pode comprar a medida necessária da forma correta. 
 
Conheça nossa linha Completa de Papel de Parede 3D e se encante com tanta modernidade e sofisticação! 
 
Porque nosso sonho é: Poder Levar com a Tecnologia, mais Aconchego e Beleza para o seu Lar 
 
Comprar pelo Elo7 é assim, basta saber qual medida é a sua parede que irá ser decorada, fazer os passos do calculo acima e assim Você descobrirá quantas unidades comprar! 
 
SIMPLES NÉH? :D 
 
Além de sempre ter algum responsável para te atender, pode mandar sua dúvida a qualquer momento. 
 
Iremos lhe responder o mais rápido possível! 
 
OBS.: Nunca compre menos sempre mais ou ira faltar para que você possa realizar o serviço completo e com perfeição! #MelhorSobrarDoQueFaltar. 
 
CASO TENHA DÚVIDA MANDE UMA MENSAGEM E UM ATENDENTE TE AJUDARA! 
 
Adesivo de Parede 3D: Idéias inovadora para a decoração de cozinhas, sala, quarto, áreas de lazer e lojas. 
 
Ótimo revestimento de parede, Moderno, Atual e Aconchegante. Confeccionado em VINIL AUTO COLANTE, fosco, pode ser lavado, e durante a aplicação pode ser removido para fazer o alinhamento da aplicação, fácil aplicação. 
 
Após a compra, entraremos em contato por E-mail ou por Telefone, que você ira informar na Hora da Compra, para a confirmação de dados e confirmação das medidas da sua Parede. 
 
O Prazo de Entrega é de acordo com o prazo estipulado pelo serviço dos Correios escolhido no momento da compra! 
 
Obs. Caso escolha Frete Grátis o Prazo é de 7 a 10 dias! 
 
Todo e qualquer produto comprado em nossa Loja é Produzido, Embalado e enviado aos Correios, precisamos de no mínimo 3 a 5 dias úteis para efetuar a postagem (Prazo de Produção). 
 
MÉTODOS DE ENTREGAS: A UP ADESIVOS 3D, garante entrega em todo território nacional em que os serviços dos Correios, SEDEX e PAC estejam Presentes. 
 
VANTAGENS: Imagine a sujeira que você produzirá se tiver de utilizar cola, você sabia que o papel de parede convencional não pode ser limpo! E também que caso de algum problema na aplicação, você perde ele?! Pois bem, pensando nisso desenvolvemos o papel de parede vinílico lavável e não tóxico bem simples de aplicar, necessitando apenas de seguir algumas regras. 
 
UP ADESIVOS DECORATIVOS É DE AUTORIA: PAREDES DECORADAS",https://img.elo7.com.br/product/main/1EF07E0/papel-de-parede-universo-0001-adesivo-de-parede-papel-de-parede-para-crianca.jpg,"papel de parede masculino,papel de parede infantil,papel de parede cidade dubai,decoração quarto de bebê,quarto de casal,adesivo 3d,papel de parede decoracao quarto,decoração sala,foto realista,papel de parede natureza,papel de parede feminino,papel de parede paisagem,papel de parede 3d para sala,papel de parede universo,quarto decorado,decoração de parede,revestimento 3d parede,papel de parede cozinha,papel de parede galaxia,papel de parede fundo do mar,decoração quarto infantil,adesivo de parede floresta,animais,papel de parede sala de jantar",Papel de Parede Universo 0001 - Adesivo de Parede
730872,599,"Bolo fake de biscuit - dois andares. Fazemos em outros modelos. 
 
Cores e temas ficam de acordo com o desejo do cliente. 
O bolo possui bases de 30 e 20 cm.",https://img.elo7.com.br/product/main/11E87B0/bolo-fake-de-biscuit-2-andares-bolo.jpg,"bolo fake 15 anos,bolo cenográfico,bolo biscuit,bolo fake em biscuit,aniversário,bolo falso de biscuit,bolo fake,bolo falso,biscuit,bolo,casamento,15 anos,bolo 2 andares 15 anos",Bolo Fake de Biscuit - 2 andares
8899B8,634,"Caixinha margarida. 
Tampa com efeito 3D de uma margarida, deixando a caixinha muito mais charmosa!!! 
Deixe a apresentação de sua mesa linda para seus convidados, eles vão amar!!!!! 
Podem ser entregues como lembrancinhas para seus convidados. 
Papel collor plus 180 gramas. 
Produzimos nas cores do tema de sua festa. 
Enviamos já montadas 
 
 
SOMENTE CLICAR EM COMPRAR SE TIVER CERTEZA , POIS PAGAMOS TAXAS . 
SE TIVER ALGUMA DÚVIDA ENTRE PRIMEIRO EM CONTATO CONOSCO , ATRAVÉS DE CONTATAR VENDEDOR, PARA DEPOIS FAZER A SUA ENCOMENDA. 
Altura: 6.00 cm 
Comprimento: 10.50 cm 
Peso: 11 g",https://img.elo7.com.br/product/main/1574EC9/caixa-margarida-abelha.jpg,"abelha,lembrancinha personalizada,papel e cia,caixinha para convidados,criança,caixa,mesa decorada,mimo,papel scrap,scrap,favo de mel,convidados,amarelo,festa personalizada,festa personalizada menina,abelhinha,festa abelhinha,flores,recordação,caixa margarida,lu personalizados bh,caixa de papel,lembrança",Caixinha de papel
69875B,640,"Vestidos Mãe e Filha Floral. Tecido: Tricoline, Algodão, Voil e Cetim. 
 
Tamanhos Adulto: P-M-G e GG 
 
Infantil: 01 a 06 anos 
 
Medidas Infantil: 
Tamanhos: 1 a 06 anos. 
 
Tamanho -------Busto----- Cintura------Comprimento 
 01 ano-------------53---------52-----------54 
02 anos------------55---------54------------60 
03 anos------------57---------56------------63 
04 anos------------59---------58------------66 
05 anos------------61---------60------------69 
06 anos------------63---------62------------72 
 
Medidas Adulto: 
 
Tamanho -------Busto----- Cintura------ Quadril 
Tamanho P--------88------- 72-------------92 
Tamanho M--------92--------78------------100 
Tamanho G--------98---------88---------- 104 
Tamanho GG-----104---------92----------- 108",https://img.elo7.com.br/product/main/1085A61/vestidos-mae-e-filha-jardim-encantado-vestidos-para-festa-mae-e-filha.jpg,"jardim encantado,vestido jardim encantado 1 ano floral,festa jardim encantado,vestidos mãe e filha para festa,vestidos de festa mãe e filha,vestidos floral mãe e filha,vestido jardim das borboletas,vestido para festa infantil jardim encantado,moda mãe e filha,vestido infantil jardim,vestidos de festa tal mãe tal filha,vestidos iguais mãe e filha,tal mae e tal filha vestidos de festa,vestido infantil jardim encantado,vestidos mãe e filha tema jardim encantado",Vestidos Mãe e Filha Jardim Encantado
515113,658,"Embalagem para bem-casado, bem-vivido, pão de mel (Embalagem de papel). 
Pedido mínimo de 40 unidades. 
 
Cor:Dourado laminado. 
Fazemos de acordo com a cor de sua festa.",https://img.elo7.com.br/product/main/D349AC/embalagem-para-bem-casado-lembrancinha.jpg,"lembrancinhas,lembrancinha barata,porta doce,dourado,decoração dourada,decoração,embalagem para bem casado,bodas de ouro,papel dourado,bodas,forminhas douradas,casamento dourado,embalagem,aniversario dourado,aniversário princesas,porta bombom,lembrancinha maternidade,caixeta",Embalagem para Bem-Casado
416666,679,"Lembrancinha Personalizada 
Caneca de Chopp 400ml de Acrílico 
 
Temos canecas de outras cores também! 
 
PRAZO DE PRODUÇÃO: APÓS A CONFIRMAÇÃO DO PAGAMENTO E APROVAÇÃO DO LAYOUT. 
 
PRAZO DE ENTREGA: DE ACORDO COM O CORREIO OU TRANSPORTADORA 
 
----- 
MÍNIMO DE 50 PÇS JÁ COM GRAVAÇÃO EM 01 COR PODENDO SER GRAVADO DOS DOIS LADOS DA CANECA PELO MESMO PREÇO DESDE QUE NA MESMA COR DE GRAVAÇÃO PARA AMBOS OS LADOS. 
-------- 
 
O frete é responsabilidade do comprador. 
 
Estamos localizados em São Paulo, se preferir pode retirar sua mercadoria de Segunda a Sexta. 
 
A TINTA SE FUNDE A CANECA NÃO DESCASCANDO NAS LAVAGENS! 
FEITAS COM MATÉRIA PRIMA VIRGEM E GRAVADA COM TINTA ATÓXICA. 
PROJETADAS PARA MANTER O LIQUIDO POR MAIS TEMPO GELADO. 
DESENVOLVEMOS A ARTE COM QUALQUER TEMA",https://img.elo7.com.br/product/main/9FE880/50-caneca-personalizada-para-15-anos-15-anos.jpg,"lembrancinha de festa,debutante,festa 15 anos,princesa,caneca,caneca de chopp personalizada,caneca personalizada,convite,aniversário,lembrancinha 15 anos,copo personalizado,convite 15 anos,lembrancinhas,festa,15 anos",Caneca Personalizada Para 15 anos
8AD3A0,695,"Excelente opção para presente, com exclusividade e qualidade Fotográfica. 
Ideal para datas especiais como: dia das mães, pais, avós, aniversários, 
namorados, amigos secretos,dias dos professores entre outros. 
A Camiseta pode ser personalizada com fotos e mensagens especiais, 
A personalização também pode ter um caráter comercial, promovendo a marca do cliente, produto ou promoções. 
 
Temos os seguintes Modelos: 
 
Camiseta Polo Feminina 
Camiseta Polo Masculina 
Camiseta Feminina Baby-Look 
Camiseta Tradicional-Unissex 
Camiseta Infantil 
Regata Feminina 
Regata Masculina 
 
Adulto: P - M - G - GG 
 
Infantil: 2 - 4 - 6 - 8 - 10 - 12 - 14 - 16 
 
Os tamanhos podem sofrer variação de até 1,5cm. 
 
Tradicional_____________________Baby look____________________________Infantil 
P - 67x48cm___________________P - 53x39cm_________________________2 - 39x32cm 
M -71x51cm____________________M - 57x42cm________________________4 - 42x31cm 
G -75x55cm____________________G - 59x43cm________________________6 - 45x30cm 
GG - 77x56cm__________________GG - 60x44cm_______________________8 - 49x35cm 
_________________________________________________________________10 - 52x37cm 
_________________________________________________________________12 - 53x40cm 
_________________________________________________________________14 - 58x41cm 
_________________________________________________________________16 - 65x45cm 
 
Material: Poliester 
Cor: Branco 
Aplicação: Sublimação 
Área de impressão: 29 x 40 cm 
 
PODE SER PERSONALIZADO DO JEITO QUE VOCÊ QUISER... 
 
Para personalizar basta colocar os detalhes no campo Observações ou solicitar por mensagem 
a cada alteração enviamos um preview para aprovação 
O produto será confeccionado, assim que aprovado o preview e o pagamento. 
 
Preços especiais para compras no atacado 
 
OBS: Não cobramos valor adicional por cores, ou alterações realizadas na arte 
 
Entregamos em todo o Brasil!",https://img.elo7.com.br/product/main/15D3F36/camiseta-baby-look-frases-bodas.jpg,"batizado,xícara,chabar,tecido,namorados,nerd,dia dos avós,festa boteco,hobby,time,buteco,geek,baby,tea,energetico,gola,futebol,dia das mães,frases,feminina,filme,dia das crianças,colecionadores,caneca,whisky,coleção,pub,dia do vovô,suco de laranja,satiras",Camiseta Baby-Look - Frases
A53E8E,788,"ATENÇÃO 
 
- Este anuncio é para medida 120-L x 200-L cm 
 
? DÚVIDAS FREQUENTES 
 
LIMPEZA DO ADESIVO 
A limpeza deve ser feita apenas com água ou sabão neutro, evitar o uso de produtos químicos. Não utilizar escovas ou acessórios ásperos para a limpeza, pois podem danificar o material. 
 
APLICAÇÃO DO ADESIVO 
Para aplicação é necessário que o local seja em uma superfície lisa. 
 
SE MOLHAR PODE ESTRAGÁ-LO? 
Não, nosso material é impermeável, sendo assim não há nenhum problema em molhá-lo. 
 
A INSTALAÇÃO É DIFÍCIL? 
Junto com o adesivo enviamos um manual de aplicação de como aplicar. 
 
HÁ PERIGO DO ADESIVO VIER A AMASSAR NO TRANSPORTE? 
Sem risco algum de amassados! Pois usamos uma embalagem especial em forma de tubo que garante a chegada do Adesivo para Box em perfeitas condições até sua residência. Não se preocupe! 
 
PRECISO DE ESPATULA PARA APLICAR O ADESIVO? 
Não. A espátula ajuda sim na aplicação, mas ela é opcional, você pode utilizar uma flanela ou um cartão de crédito para aplicá-lo.",https://img.elo7.com.br/product/main/1A1E90E/papel-de-parede-mapa-mundi-infantil.jpg,"papel de parede mapa mundi infantil,mapa mundi,casa,decoração quarto infantil,quarto,mapas,criança,decoração de interiores,decoração,adesivo decorativo,adesivo de parede,papel de parede,interior,infantil,quarto de bebê,mapa mundi infantil,adesivo",Papel de Parede Mapa Mundi Infantil
775074,820,Convite confeccionado em papel 180g (opaline e color plus.,https://img.elo7.com.br/product/main/1299CF9/convite-show-da-luna-convite.jpg,"convite tema show da luna,convite show da luna,aniversário show da luna,convite festa,convite,luna,convite de aniversário,convite infantil,festa show da luna,show da luna",Convite Show da Luna
A78A6B,916,"Ótima opção de lembrancinha, muito lindo e útil ! 
 
Faça seus copos long drink personalizados, a impressão é direta no copo, produto lavável e de ótima qualidade. 
 
Nos envie as informações para personalização, caso houver dúvidas entre em contato, será um prazer atender. 
 
Descrição: Copo long drink 
Tamanho: 15,5x6cm 
Cores: verificar disponibilidade 
Impressão: direto no copo 
* Apenas na frente.",https://img.elo7.com.br/product/main/1A7C8B9/copo-long-drink-dia-dos-professores-copinho.jpg,"long drink,copinho,lembrancinha dia dos professores,copo personalizado,copo professor,copo dia dos professores,dia dos professores,copo long drink,lembrancinha long drink,copo",Copo Long Drink Dia dos Professores
7ABF93,965,"Somos o Decor da Lu! 
Frete a consultar. 
 
Deixe sua festa mais charmosa! 
Muro inglês com totens Jurassic Park, 2 totens dinossauros, 2 mesas rústicas, 2 cachepôs com buchinhos, 1 escada de chão para lembrancinhas, bonecos de borracha para mesa, bolachas de madeira, tapete. 
Brinde: nome em mdf na mesa e bolo fake. 
Bexigas por conta do cliente. 
Consulte frete e datas disponíveis",https://img.elo7.com.br/product/main/1BB80D7/aluguel-de-decoracao-festa-dinossauro-decoracao-festa-dinossauros.jpg,"jurassic park,decoração rústica dinossauros,festa dinossauro,decoração festa dinossauro,decoração festa infantil dinossauros,dinossauro,decoração provençal dinossauros,decoração dinossauro,decoração rústica,aluguel dinossauros",Aluguel de Decoração festa Dinossauro
A13BCA,1050,"DIFUSOR AROMATIZADOR 40 ML PERSONALIZADO. PEGUE E MONTE 
------------------------------------------------------------------------------- - COMO FUNCIONA O PEGUE E MONTE? 
 
Produtos pegue e monte é simplesmente faça você mesma, os frascos vão envasados com a essência da sua escolha, o restante como por exemplo, Rotulo, saquinho celofane, palitos aromatizante e fita de cetim vai solto na caixa, para você mesmo montar. É bem fácil e simples a montagem. 
 
O Beneficio do pegue e monte é que conseguimos baixar o valor do produto para você nosso cliente, e você aproveita desse momento para participar montando as lembrancinhas. 
------------------------------------------------------------------------------- 
 
FAZEMOS EM QUALQUER TEMA 
------------------------------------------------------------------------- 
ACOMPANHA OS ITENS: 
 
- *FRASCO* DE 40ml (POLIETILENO) 8cm 
-*RÓTULO* PERSONALIZADO ( comprimento 3,8 x largura 4 cm ) pré recortado 
- *02 VARETAS *COM 13CM CADA 
- *CETIM* - COR COMBINANDO COM O RÓTULO DO FRASCO 
- *SAQUINHO* CELOFANE 
---------------------------------------------------------------------------- 
 
 
- *ESSÊNCIAS * 
 
-Algodão, 
-Alecrim, 
-Erva doce, 
-Flor de Cerejeira , 
-Lavanda, 
-Morango Champanhe , 
- Mamãe Bebê, 
 
----------------------------------------------------------------------------- 
 
Após a compra Aguarde que entraremos em contato pelo chat 
 
--------------------------------------------------------------------------- 
OBS: As Garrafinhas já vão cheias, varetas, rótulos, saquinhos e laços, vão separados dentro da caixa. 
------------------------------------------------------------------------------ 
INFORMAÇÕES IMPORTANTES 
 
** Consultar prazo de produção da loja( Começa a contar após aprovação da arte e escolha da essência) Não confeccionamos em menor tempo por conta da Demanda do produto 
** Comprem com Antecedência 
** Dias úteis ( São contados Segunda a Sexta exceto Feriados 
** As mensagens são respondidas conforme demanda em ordem cronológica, portanto quando enviar Mensagem AGUARDE nosso atendimento 
** Atendimento de Segunda a Sexta 10:00 às 17:00 
** Entrega é feita pelos Correios portanto não nos responsabilizamos por atrasos.",https://img.elo7.com.br/product/main/1976E1D/lembrancinha-aromatizador-batizado-atacado-das-lembrancinhas.jpg,"casamento,lembraninha aromatizador,lembrancinha batizado,chá de bebê,lembrancinha aromatizador,lembrancinha barata,difusor batizado,batizado menina,aromatizador batizado,nascimento,lembrancinha difusor batizado,batizado menino,lembrancinha batizado barata,aniversário,maternidade,atacado lembrancinhas",lembrancinha aromatizador Batizado 40 ml
